word,shell ccount,all count,proportion,new
phrase,9,67,13.43%,1
footage,9,83,10.84%,1
investigation,9,130,6.92%,1
search,9,151,5.96%,1
eye,9,331,2.72%,1
turn,9,359,2.51%,1
find,9,464,1.94%,1
state,9,2833,0.32%,1
grievance,9,13,69.23%,0
excuse,9,15,60.00%,0
disappointment,9,21,42.86%,0
guilt,9,21,42.86%,0
insight,9,22,40.91%,0
oath,9,23,39.13%,0
revelation,9,25,36.00%,0
license,9,31,29.03%,0
assessment,9,32,28.13%,0
priority,9,40,22.50%,0
joke,9,50,18.00%,0
signal,9,78,11.54%,0
subject,9,255,3.53%,0
command,9,453,1.99%,0
aspiration,8,9,88.89%,1
dismay,8,12,66.67%,1
prognosis,8,12,66.67%,1
milestone,8,15,53.33%,1
timing,8,29,27.59%,1
disagreement,8,30,26.67%,1
mood,8,36,22.22%,1
taste,8,47,17.02%,1
pursuit,8,49,16.33%,1
duration,8,50,16.00%,1
legislation,8,73,10.96%,1
fee,8,78,10.26%,1
boundary,8,110,7.27%,1
trip,8,132,6.06%,1
mind,8,133,6.02%,1
nature,8,246,3.25%,1
hand,8,468,1.71%,1
element,8,475,1.68%,1
population,8,639,1.25%,1
lead,8,657,1.22%,1
performance,8,707,1.13%,1
single,8,1090,0.73%,1
prophecy,8,8,100.00%,0
zeal,8,8,100.00%,0
clue,8,14,57.14%,0
disadvantage,8,17,47.06%,0
constraint,8,20,40.00%,0
proof,8,31,25.81%,0
lesson,8,45,17.78%,0
mystery,8,64,12.50%,0
surprise,8,64,12.50%,0
definition,8,67,11.94%,0
secret,8,168,4.76%,0
bequest,7,8,87.50%,1
lease,7,23,30.43%,1
accomplishment,7,28,25.00%,1
thesis,7,30,23.33%,1
acclaim,7,40,17.50%,1
trace,7,53,13.21%,1
depiction,7,69,10.14%,1
offense,7,87,8.05%,1
designation,7,104,6.73%,1
treaty,7,157,4.46%,1
paper,7,197,3.55%,1
property,7,197,3.55%,1
try,7,240,2.92%,1
defeat,7,280,2.50%,1
career,7,601,1.16%,1
support,7,723,0.97%,1
end,7,1455,0.48%,1
insistence,7,7,100.00%,0
anticipation,7,13,53.85%,0
proclamation,7,13,53.85%,0
consideration,7,20,35.00%,0
critique,7,23,30.43%,0
permit,7,35,20.00%,0
anger,7,38,18.42%,0
confidence,7,39,17.95%,0
venture,7,51,13.73%,0
resolution,7,69,10.14%,0
lie,7,121,5.79%,0
arrangement,7,135,5.19%,0
strength,7,215,3.26%,0
version,7,694,1.01%,0
authorization,6,10,60.00%,1
hazard,6,16,37.50%,1
citation,6,18,33.33%,1
commandment,6,76,7.89%,1
prey,6,87,6.90%,1
planning,6,126,4.76%,1
background,6,166,3.61%,1
pattern,6,170,3.53%,1
interview,6,260,2.31%,1
research,6,289,2.08%,1
mark,6,393,1.53%,1
figure,6,410,1.46%,1
season,6,2086,0.29%,1
query,6,7,85.71%,0
drawback,6,8,75.00%,0
reluctance,6,10,60.00%,0
vow,6,11,54.55%,0
offence,6,14,42.86%,0
illusion,6,17,35.29%,0
obsession,6,20,30.00%,0
necessity,6,24,25.00%,0
prohibition,6,25,24.00%,0
viewpoint,6,29,20.69%,0
answer,6,56,10.71%,0
doctrine,6,67,8.96%,0
conspiracy,6,68,8.82%,0
pain,6,68,8.82%,0
consequence,6,69,8.70%,0
principle,6,70,8.57%,0
achievement,6,78,7.69%,0
freedom,6,94,6.38%,0
prize,6,105,5.71%,0
era,6,348,1.72%,0
ultimatum,5,5,100.00%,1
liking,5,7,71.43%,1
encouragement,5,11,45.45%,1
judgement,5,11,45.45%,1
outrage,5,12,41.67%,1
claimant,5,13,38.46%,1
clause,5,17,29.41%,1
outage,5,24,20.83%,1
consensus,5,27,18.52%,1
conception,5,30,16.67%,1
trait,5,33,15.15%,1
odd,5,35,14.29%,1
backing,5,47,10.64%,1
gust,5,54,9.26%,1
measurement,5,66,7.58%,1
extent,5,70,7.14%,1
junction,5,91,5.49%,1
offering,5,91,5.49%,1
progress,5,102,4.90%,1
angle,5,139,3.60%,1
honor,5,150,3.33%,1
advance,5,262,1.91%,1
length,5,298,1.68%,1
relationship,5,359,1.39%,1
post,5,424,1.18%,1
return,5,541,0.92%,1
storm,5,1056,0.47%,1
life,5,1118,0.45%,1
motto,5,5,100.00%,0
precept,5,10,50.00%,0
uncertainty,5,18,27.78%,0
reservation,5,22,22.73%,0
joy,5,23,21.74%,0
hurdle,5,28,17.86%,0
courage,5,32,15.63%,0
inspiration,5,85,5.88%,0
reality,5,100,5.00%,0
link,5,177,2.82%,0
effect,5,450,1.11%,0
stage,5,520,0.96%,0
prerequisite,4,4,100.00%,1
liability,4,7,57.14%,1
ambiguity,4,9,44.44%,1
prow,4,11,36.36%,1
outlook,4,12,33.33%,1
deed,4,13,30.77%,1
inquiry,4,14,28.57%,1
shortcoming,4,14,28.57%,1
feedback,4,18,22.22%,1
panic,4,18,22.22%,1
quotation,4,19,21.05%,1
allegiance,4,26,15.38%,1
feat,4,27,14.81%,1
exploit,4,28,14.29%,1
curve,4,45,8.89%,1
fatality,4,50,8.00%,1
diet,4,62,6.45%,1
expression,4,66,6.06%,1
tension,4,69,5.80%,1
respect,4,97,4.12%,1
selection,4,101,3.96%,1
reception,4,108,3.70%,1
mention,4,126,3.17%,1
decline,4,128,3.13%,1
entrance,4,160,2.50%,1
opponent,4,160,2.50%,1
pas,4,233,1.72%,1
lyric,4,250,1.60%,1
development,4,579,0.69%,1
level,4,654,0.61%,1
battle,4,729,0.55%,1
service,4,794,0.50%,1
album,4,1756,0.23%,1
injunction,4,4,100.00%,0
realization,4,4,100.00%,0
incentive,4,5,80.00%,0
assurance,4,6,66.67%,0
misfortune,4,7,57.14%,0
precaution,4,7,57.14%,0
longing,4,8,50.00%,0
proposition,4,11,36.36%,0
slogan,4,11,36.36%,0
disgust,4,12,33.33%,0
indicator,4,12,33.33%,0
inclination,4,13,30.77%,0
complication,4,14,28.57%,0
hint,4,14,28.57%,0
undertaking,4,14,28.57%,0
mandate,4,15,26.67%,0
worry,4,19,21.05%,0
calculation,4,23,17.39%,0
qualification,4,23,17.39%,0
sensation,4,23,17.39%,0
admission,4,24,16.67%,0
philosophy,4,65,6.15%,0
alternative,4,100,4.00%,0
formula,4,109,3.67%,0
ritual,4,110,3.64%,0
drive,4,184,2.17%,0
impact,4,191,2.09%,0
uproar,3,3,100.00%,1
remorse,3,4,75.00%,1
disdain,3,6,50.00%,1
feasibility,3,6,50.00%,1
unwillingness,3,6,50.00%,1
prowess,3,9,33.33%,1
optimism,3,10,30.00%,1
bidding,3,13,23.08%,1
excitement,3,14,21.43%,1
odor,3,15,20.00%,1
gesture,3,18,16.67%,1
boost,3,21,14.29%,1
momentum,3,21,14.29%,1
stoppanis,3,23,13.04%,1
synonym,3,31,9.68%,1
ban,3,35,8.57%,1
imagination,3,37,8.11%,1
behalf,3,51,5.88%,1
favor,3,52,5.77%,1
push,3,52,5.77%,1
jaw,3,56,5.36%,1
classification,3,64,4.69%,1
barrier,3,66,4.55%,1
behavior,3,67,4.48%,1
schedule,3,76,3.95%,1
comparison,3,77,3.90%,1
debate,3,100,3.00%,1
resource,3,100,3.00%,1
venue,3,102,2.94%,1
document,3,108,2.78%,1
door,3,114,2.63%,1
ruler,3,129,2.33%,1
grant,3,130,2.31%,1
storyline,3,146,2.05%,1
basis,3,156,1.92%,1
seat,3,166,1.81%,1
picture,3,169,1.78%,1
speed,3,233,1.29%,1
sequence,3,243,1.23%,1
future,3,266,1.13%,1
help,3,398,0.75%,1
good,3,569,0.53%,1
track,3,780,0.38%,1
take,3,849,0.35%,1
game,3,3313,0.09%,1
hypothesis,3,3,100.00%,0
rationale,3,4,75.00%,0
stipulation,3,6,50.00%,0
endeavor,3,9,33.33%,0
grief,3,11,27.27%,0
implication,3,17,17.65%,0
deception,3,21,14.29%,0
burden,3,22,13.64%,0
reward,3,26,11.54%,0
assignment,3,33,9.09%,0
virtue,3,34,8.82%,0
attraction,3,41,7.32%,0
regulation,3,52,5.77%,0
grace,3,55,5.45%,0
similarity,3,58,5.17%,0
blow,3,60,5.00%,0
trick,3,63,4.76%,0
resistance,3,89,3.37%,0
teaching,3,126,2.38%,0
estimation,2,2,100.00%,1
ailment,2,3,66.67%,1
consternation,2,3,66.67%,1
exhortation,2,3,66.67%,1
omission,2,3,66.67%,1
bias,2,4,50.00%,1
requiem,2,4,50.00%,1
credential,2,5,40.00%,1
pathos,2,5,40.00%,1
urgency,2,5,40.00%,1
stimulation,2,6,33.33%,1
accolade,2,7,28.57%,1
ethos,2,7,28.57%,1
assent,2,8,25.00%,1
hype,2,9,22.22%,1
precedent,2,10,20.00%,1
verge,2,10,20.00%,1
guideline,2,11,18.18%,1
legitimacy,2,11,18.18%,1
refrain,2,11,18.18%,1
vacancy,2,11,18.18%,1
sadness,2,13,15.38%,1
treatise,2,16,12.50%,1
urging,2,16,12.50%,1
cry,2,22,9.09%,1
evaluation,2,22,9.09%,1
accommodation,2,26,7.69%,1
alteration,2,29,6.90%,1
guidance,2,32,6.25%,1
urn,2,32,6.25%,1
covenant,2,33,6.06%,1
awareness,2,36,5.56%,1
surge,2,38,5.26%,1
riot,2,39,5.13%,1
hiatus,2,40,5.00%,1
limb,2,47,4.26%,1
hunt,2,51,3.92%,1
motif,2,52,3.85%,1
failing,2,53,3.77%,1
advertisement,2,54,3.70%,1
advisory,2,64,3.13%,1
marking,2,65,3.08%,1
tool,2,67,2.99%,1
occupation,2,73,2.74%,1
melody,2,80,2.50%,1
fashion,2,85,2.35%,1
tone,2,90,2.22%,1
manner,2,94,2.13%,1
